event,description,code,boundary_type,year,event_date
Treaty of Utrecht,"France recognized British rights to Rupert's Land, with some dispute as to the exact extents of the area. Great Britain had given sole trading rights in the Hudson Bay drainage basin the Hudson's Bay Company by Royal Charter in 1670",BIdis,International (disputed),1713,1713-01-01T00:00:00.000
Treaty of Utrecht,"France ceded Acadia, excluding Île Royale (Cape Breton Island) to Great Britain. Due to difficulties in interpreting the actual size of Acadia, possession of present day New Brunswick was disputed.",,,1713,1713-01-01T00:00:00.000
Treaty of Utrecht,"France relinquished interest in Newfoundland, except fishing rights, to Great Britain.",,,1713,1713-01-01T00:00:00.000
Royal Proclamation,St John's Island (PEI) and Cape Breton Island were annexed to Nova Scotia.,BT,Territorial,1763,1763-01-01T00:00:00.000
Treaty of Paris,"France ceeded New France, Ile Royale (Cape Breton) and Saint John's Island (PEI) to Great Britain.",BI,International,1763,1763-01-01T00:00:00.000
Treaty of Paris,"France ceeded all of her territories in North America to Great Britain, except Saint-Pierre and Miquelon Islands.",BI,International,1763,1763-01-01T00:00:00.000
Treaty of Paris,France ceded Louisiana to Spain.,BI,International,1763,1763-01-01T00:00:00.000
Royal Proclamation,The Royal Proclamation described the boundaries of Quebec; assigned to Newfoundland the Labrador coast together with the Anticosti and Madeleine Islands.  Lands not contained within defined British colonies were reserved for the... Indians.,BI,International,1763,1763-01-01T00:00:00.000
Royal Proclamation,The Royal Proclamation described the boundaries of Quebec.  Lands not contained within defined British colonies were reserved for the... Indians.,BI,International,1763,1763-01-01T00:00:00.000
Quebec Act,"Enlarged Quebec to include Labrador, Anticosti and Madeleine Islands, the Indian country both north and west to Rupert's Land and to the southwest to the junction of the Ohio and Mississippi rivers.",,,1774,1774-01-01T00:00:00.000
Treaty of Paris,Independence of the United States recognized and boundaries between it and British North America described (imperfectly) from the Atlantic Ocean to Lake of the Woods,BI,International,1783,1783-01-01T00:00:00.000
Cape Breton becomes a colony,Colonial government established in Cape Breton,,,1784,1784-01-01T00:00:00.000
Russia lays claim to Alaskan coast,Grigori Shelikhov established a village on Kodiak Island and claimed adjoining coast for Russia,BFdis,French (disputed),1784,1784-01-01T00:00:00.000
New Brunswick becomes a colony,Colonial government established in New Brunswick,,,1784,1784-01-01T00:00:00.000
Nootka Convention,Opened northwest coast to occupation by any country,BIdis,International (disputed),1790,1790-01-01T00:00:00.000
Constitutional Act,"A Constitutional Act, followed by Order in Council, divided Quebec into Lower Canada and Upper Canada",BP,Provincial,1791,1791-01-01T00:00:00.000
Conflicting claims to west coast,USA and Great Britain both laid claim to land that will eventually become the Oregon Territory,BI,International,1800,1800-01-01T00:00:00.000
Louisiana Purchace,"In 1802 Spain ceeded Louisiana to France, and in the following year France sold Louisiana to the USA.",BI,International,1803,1803-01-01T00:00:00.000
Labrador Act,Re-annexed the Labrador Coast and Anticosti Island to Newfoundland,,,1809,1809-01-01T00:00:00.000
Convention established 49th parallel,Convention: International boundary extended along 49th parallel from Lake of the Woods to the Rocky Mountains.,BI,International,1818,1818-01-01T00:00:00.000
Oregon Territory to be shared,Convention: Oregon Territory to west to be administered jointly by US and Britain for 10 years,BI,International,1818,1818-01-01T00:00:00.000
Adams-OnisTreaty,Boundary between Oregon Territory and the Spanish Territory established at the 42nd parallel,BI,International,1819,1819-01-01T00:00:00.000
Cape Breton joins Nova Scotia,Cape Breton Island re-annexed to Nova Scotia,,,1820,1820-01-01T00:00:00.000
Anglo-Russian Treaty,Anglo-Russian Treaty defined lines of demarcation between Alaska and British North America,BI,International,1825,1825-01-01T00:00:00.000
